keys,a_Fem_valleys,a_Fem_v2p,a_Fem_peaks,a_Fem_T,a_PWT,a_Cor_valleys,a_Cor_v2p,a_Cor_peaks,a_Cor_T,b_Fem_valleys,b_Fem_v2p,b_Fem_peaks,b_Fem_T,b_PWT,b_Cor_valleys,b_Cor_v2p,b_Cor_peaks,b_Cor_T,c_Fem_valleys,c_Fem_v2p,c_Fem_peaks,c_Fem_T,c_PWT,c_Cor_valleys,c_Cor_v2p,c_Cor_peaks,c_Cor_T
1,54, 54, 101, 221, 30, 68, 48, 98, 219,32, 71, 48, 221, 34, 53, 49, 83, 218,90, 61, 155, 200, 21, 88, 62, 113, 200
1,19, 57, 106, 243, 28, 64, 50, 86, 242,-19, 61, 26, 252, 28, 54, 53, 69, 252,85, 48, 199, 183, 23, 81, 49, 101, 185
1,73, 53, 119, 180, 19, 106, 54, 137, 180,34, 70, 51, 211, 32, 62, 58, 96, 211,91, 55, 138, 186, 16, 118, 61, 149, 186
1,80, 50, 127, 155, 17, 83, 50, 123, 158,50, 51, 88, 148, 17, 54, 47, 96, 147,80, 50, 139, 164, 17, 84, 51, 129, 164
1,102, 50, 141, 173, 16, 102, 55, 125, 173,71, 50, 111, 161, 20, 72, 49, 102, 163,54, 51, 90, 163, 21, 57, 49, 85, 168
1,28, 61, 61, 244, 20, 32, 57, 73, 245,71, 54, 119, 191, 15, 78, 54, 111, 191,56, 46, 104, 178, 13, 64, 46, 102, 178
1,71, 54, 119, 191, 15, 78, 54, 111, 191,56, 46, 104, 178, 13, 64, 46, 102, 178,78, 54, 129, 194, 15, 84, 58, 119, 194
1,76, 50, 115, 157, 19, 80, 50, 108, 168,45, 52, 77, 181, 21, 50, 50, 81, 181,88, 49, 129, 156, 17, 91, 51, 118, 159
1,67, 50, 103, 157, 21, 70, 49, 100, 158,37, 52, 63, 172, 25, 40, 50, 70, 172,83, 47, 120, 67, 17, 84, 49, 112, 102
1,70, 54, 115, 179, 25, 69, 51, 111, 179,56, 48, 95, 146, 25, 56, 44, 96, 147,70, 53, 121, 179, 24, 70, 52, 115, 179
1,99, 50, 131, 156, 27, 96, 53, 119, 156,57, 55, 87, 175, 32, 56, 49, 87, 175,122, 58, 180, 162, 15, 117, 61, 169, 162
1,88, 51, 125, 132, 25, 92, 53, 115, 144,57, 50, 98, 157, 29, 63, 48, 97, 161,97, 52, 141, 167, 24, 101, 62, 127, 166
1,87, 55, 112, 181, 29, 87, 51, 114, 181,51, 55, 76, 182, 31, 54, 47, 85, 182,89, 54, 126, 196, 24, 92, 57, 119, 196
1,69, 53, 114, 195, 26, 68, 52, 101, 194, 38, 56, 71, 196, 29, 36, 52, 74, 197, 100, 53, 150, 192, 19, 96, 56, 127, 193
